4,8
3,8,28
2,8,28,19
2,8,28,19,25
2,8,28,19,25,0
2,8,28,19,25,0,16
2,8,28,19,25,0,16,1
2,8,28,19,25,0,16,1,8
4,9
4,9,18
4,9,18,29
4,9,18,29,32
3,9,18,29,32,27
3,9,18,29,32,27,1
2,9,18,29,32,27,1,17
2,9,18,29,32,27,1,17,26
3,9,18,29,32,27,1,17,26,30
4,32
3,32,9
2,32,9,7
1,32,9,7,18
1,32,9,7,18,12
1,32,9,7,18,12,17
1,32,9,7,18,12,17,16
1,32,9,7,18,12,17,16,13
1,32,9,7,18,12,17,16,13,9
4,29
4,29,32
3,29,32,33
3,29,32,33,31
2,29,32,33,31,30
2,29,32,33,31,30,27
1,29,32,33,31,30,27,25
0,29,32,33,31,30,27,25,9
